City_ID,City,Lat,Lng,Currently,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Victoria,22.2855,114.1577,Clouds,84.38,81,100,1.01,HK,2021-07-17 16:26:24
116,Yar-Sale,66.8333,70.8333,Clear,46.67,70,10,7.74,RU,2021-07-17 16:31:08
117,Bayji,34.9311,43.487,Clear,103.51,11,1,3.96,IQ,2021-07-17 16:31:09
118,Vardo,70.3705,31.1107,Clouds,52.18,83,87,6.46,NO,2021-07-17 16:31:09
119,San Cristobal,7.7669,-72.225,Clouds,80.78,60,66,7.45,VE,2021-07-17 16:31:09
120,General Pico,-35.6566,-63.7568,Clear,53.67,32,0,19.57,AR,2021-07-17 16:31:09
121,Poum,-20.2333,164.0167,Clear,73.87,78,4,6.93,NC,2021-07-17 16:31:10
122,Tezu,27.9167,96.1667,Rain,76.98,94,99,2.06,IN,2021-07-17 16:31:10
123,Hasaki,35.7333,140.8333,Clouds,73.69,90,84,6.91,JP,2021-07-17 16:31:10
124,Saskylakh,71.9167,114.0833,Clouds,47.98,63,34,7.56,RU,2021-07-17 16:31:10
125,Chifeng,42.2683,118.9636,Clouds,70.7,86,82,5.55,CN,2021-07-17 16:31:11
126,Manicore,-5.8092,-61.3003,Clear,97.27,33,0,3.2,BR,2021-07-17 16:31:11
127,Areia Branca,-4.9561,-37.1369,Clouds,85.35,59,72,15.97,BR,2021-07-17 16:31:11
128,Mount Isa,-20.7333,139.5,Clear,46.17,53,7,2.3,AU,2021-07-17 16:31:11
129,Castro,-24.7911,-50.0119,Clouds,62.82,81,64,10.04,BR,2021-07-17 16:31:12
130,Namibe,-15.1961,12.1522,Clear,68.88,77,1,9.06,AO,2021-07-17 16:31:12
131,Coihaique,-45.5752,-72.0662,Clouds,42.75,65,75,4.61,CL,2021-07-17 16:31:12
132,Toropets,56.4978,31.6353,Clouds,74.1,81,46,5.41,RU,2021-07-17 16:31:12
133,Sao Jose Da Coroa Grande,-8.8978,-35.1478,Clouds,79.47,73,76,9.84,BR,2021-07-17 16:31:13
134,Hovd,48.0056,91.6419,Clouds,65.53,44,75,3.56,MN,2021-07-17 16:31:13
135,Rio Bananal,-19.265,-40.3333,Clear,86.45,36,1,4.9,BR,2021-07-17 16:31:13
136,Cajabamba,-7.6167,-78.05,Clouds,66.56,42,52,5.48,PE,2021-07-17 16:31:13
137,Shelburne,44.0787,-80.2041,Clouds,69.24,65,100,7.16,CA,2021-07-17 16:31:14
138,Hithadhoo,-0.6,73.0833,Clouds,82.51,71,75,3.2,MV,2021-07-17 16:31:14
139,Arraial Do Cabo,-22.9661,-42.0278,Clouds,75.16,78,40,12.66,BR,2021-07-17 16:31:14
140,Tyukhtet,56.5389,89.3011,Clouds,54.57,96,56,8.46,RU,2021-07-17 16:31:14
141,Butaritari,3.0707,172.7902,Rain,83.44,76,26,17.72,KI,2021-07-17 16:31:15
142,Dicabisagan,17.0818,122.4157,Clouds,79.18,89,100,4.05,PH,2021-07-17 16:31:15
143,Alice Springs,-23.7,133.8833,Clear,42.35,65,0,2.3,AU,2021-07-17 16:31:15
144,Kudahuvadhoo,2.6708,72.8944,Clouds,83.37,73,59,10.69,MV,2021-07-17 16:31:15
145,Trairi,-3.2778,-39.2689,Clouds,85.6,59,99,13.31,BR,2021-07-17 16:30:56
146,Kasempa,-13.4584,25.8338,Clouds,62.51,40,36,5.17,ZM,2021-07-17 16:31:16
