City_ID,City,Country,Max Temp,Currently,Lat,Lng,Hotel Name
439,Piacabucu,BR,78.31,Clouds,-10.4056,-36.4344,Piaçabuçu News
443,Flin Flon,CA,71.06,Clouds,54.7682,-101.865,Victoria Inn Flin Flon
444,Saint-Pierre,RE,68.29,Clear,-21.3393,55.4781,Lindsey Hôtel
445,Souillac,MU,71.37,Rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
446,Birjand,IR,81.37,Clouds,32.8663,59.2211,Birjand Tourist Hotel
447,Shiliguri,IN,78.91,Rain,26.7,88.4333,Classic Hotel and Lodge
448,Agdas,AZ,82.85,Clear,40.65,47.4761,MAQA telecom
451,Hearst,CA,70.83,Clouds,49.6835,-83.6665,Companion
452,Haines Junction,CA,70.59,Clear,60.7522,-137.5108,Parkside Inn
453,Jining,CN,72.84,Clouds,35.405,116.5814,Yunhe Star Hotel
454,Lobito,AO,70.5,Clear,-12.3481,13.5456,Casa Rosa Hotel Residence
456,Svay Rieng,KH,77.97,Clouds,11.0879,105.7993,Apsara guesthouse
458,Salinopolis,BR,82.99,Clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
460,Bam,IR,83.32,Clouds,29.106,58.357,Bam Tourist Hotel
461,Kamphaeng Phet,TH,76.77,Clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
462,Tambun,ID,81.46,Clouds,-6.2641,107.0712,@HOM Premiere Tambun
465,Santo Andre,BR,74.12,Clouds,-23.6639,-46.5383,Blue Tree Towers All Suites Santo André
466,Mogok,MM,66.47,Clouds,22.9167,96.5,MOGOK HILL HOTEL
472,Halifax,CA,79.52,Clouds,44.6453,-63.5724,Hotel Halifax
473,Santa Rosa,PH,81.1,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
474,Nema,RU,65.01,Clouds,57.5067,50.5011,Gostinichnyye Komnaty
477,Labuhan,ID,76.42,Clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
478,Saint-Francois,FR,72.18,Clouds,46.4154,3.9054,Manoir Du Bonheur
480,Kashi,CN,77.88,Clouds,39.4547,75.9797,帕米尔青年旅舍
481,Salalah,OM,78.89,Clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
483,Bonthe,SL,74.75,Rain,7.5264,-12.505,Bonthe Holiday Village
486,Faya,SA,68.52,Clouds,18.3851,42.4509,مقبرة ال مجمل
489,Kemnay,GB,71.31,Clouds,57.2357,-2.444,Thainstone House
490,Volkach,DE,73.72,Clouds,49.8667,10.2333,Hotel Turmdieb
495,Finschhafen,PG,79.41,Clouds,-6.6024,147.8681,Cossam Guest House
497,Ottawa,CA,81.75,Clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
499,Magesti,RO,79.23,Clouds,47.0167,22.45,Pension Axon
500,Llanes,ES,73.27,Clear,43.4198,-4.7549,Hotel La Paz
504,Ponta Delgada,PT,70.52,Clouds,37.7333,-25.6667,Vila Nova Hotel
505,Valreas,FR,76.32,Clear,44.3837,4.9908,Maison d'Anvers
506,Kupang,ID,72.77,Clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
507,Karratha,AU,66.16,Clouds,-20.7377,116.8463,ibis Styles Karratha
508,Cockburn Town,TC,81.9,Clouds,21.4612,-71.1419,Osprey Beach Hotel
509,Gerstetten,DE,67.46,Clouds,48.6333,10.0333,Ferienwohnung Heldenfingen
511,San Cristobal,VE,84.38,Clouds,7.7669,-72.225,Posada Villaven C.A.
513,Kommunar,RU,72.93,Clear,59.6206,30.39,Guest House Izhora
514,North Bend,US,76.95,Clear,43.4065,-124.2243,Red Lion Hotel Coos Bay
515,Yurimaguas,PE,82.56,Clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
516,Tura,IN,73.27,Clouds,25.5198,90.2201,Hotel RIKMAN Continental
518,Harper,LR,76.84,Clouds,4.375,-7.7169,Screensaver
519,Nishihara,JP,81.68,Clouds,26.1842,127.7558,Minshuku Agaihama
520,Tevaitoa,PF,78.8,Rain,-16.7833,-151.5,Hôtel Raiatea Lodge
521,Godda,IN,78.71,Rain,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
522,Naron,ES,83.25,Clear,43.5167,-8.1528,Marcial
524,Requena,ES,72.0,Clear,39.4883,-1.1004,Hotel Avenida
526,Hrubieszow,PL,68.61,Clouds,50.805,23.8925,Hotel Jagiełło
527,Noumea,NC,70.0,Clear,-22.2763,166.4572,Hôtel Le Lagon
530,Arroyos Y Esteros,PY,71.35,Clear,-25.0667,-57.1,GPM
533,Biu,NG,72.81,Clouds,10.6129,12.1946,Emir's Palace
536,Salinas,US,83.21,Clouds,36.6777,-121.6555,Laurel Inn & Conference Center
537,Naantali,FI,72.01,Clear,60.4674,22.0243,Naantali Spa Hotel & Resort
542,Qinhuangdao,CN,72.61,Clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
551,Pekan,MY,78.44,Clouds,3.4836,103.3996,Pekan Budget Hotel
554,Acarau,BR,84.43,Clouds,-2.8856,-40.12,castelo pizzaria
558,Bermeo,ES,78.85,Clear,43.4209,-2.7215,Eco-Hotel Mundaka
560,Shingu,JP,77.92,Clouds,33.7333,135.9833,Shingu UI Hotel
563,Zhengjiatun,CN,73.83,Clear,43.5064,123.5064,Siping Hexiang Hotel
564,Porto Seguro,BR,77.52,Clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
565,Lanzhou,CN,75.31,Clear,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
566,Ambulu,ID,71.46,Clouds,-8.345,113.6058,Hotel Ambulu Jember
568,Lata,PT,74.35,Clear,40.1629,-8.3327,Casa Maquia
571,Banda Aceh,ID,78.64,Clouds,5.5577,95.3222,Sulthan Hotel International
572,Bani Walid,LY,77.32,Clear,31.7566,13.9942,منزل الصابر أبوفانة
573,Zhangjiakou,CN,69.62,Clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
574,Akureyri,IS,65.86,Clear,65.6835,-18.0878,Icelandair Hotel Akureyri
575,Nagato,JP,72.19,Rain,34.3833,131.2,いそう庵
577,Pringsewu,ID,71.83,Clouds,-5.3582,104.9744,Urban Style by Front One
578,Neiafu,TO,77.68,Clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
