City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,Vallenar,-28.5708,-70.7581,56.37,60,0,0.69,CL,2021-07-15 00:21:13
149,Srednekolymsk,67.45,153.6833,72.55,42,23,9.22,RU,2021-07-15 00:19:30
150,Shipunovo,52.1582,82.2173,55.31,88,62,14.88,RU,2021-07-15 00:21:13
151,Katherine,-14.4667,132.2667,79.12,61,11,1.14,AU,2021-07-15 00:21:13
152,Hede,33.7681,120.2517,80.87,88,87,10.94,CN,2021-07-15 00:21:13
153,Dunedin,-45.8742,170.5036,49.8,58,97,7.0,NZ,2021-07-15 00:21:14
154,Maragogi,-9.0122,-35.2225,74.91,88,14,9.95,BR,2021-07-15 00:21:14
155,Machali,-34.1833,-70.6667,48.04,55,0,2.73,CL,2021-07-15 00:21:14
156,Henties Bay,-22.116,14.2845,57.27,68,0,0.49,NA,2021-07-15 00:21:14
157,Bar Harbor,44.3876,-68.2039,65.93,93,90,5.99,US,2021-07-15 00:16:40
158,Quang Ngai,15.1167,108.8,81.91,71,27,3.74,VN,2021-07-15 00:21:15
159,Fort Nelson,58.8053,-122.7002,75.42,41,70,6.29,CA,2021-07-15 00:21:15
160,Kavieng,-2.5744,150.7967,85.21,68,84,9.93,PG,2021-07-15 00:21:15
161,Furmanov,57.2508,41.1058,63.91,87,99,4.83,RU,2021-07-15 00:21:15
162,Roma,43.2128,-75.4557,77.67,79,1,4.61,US,2021-07-15 00:17:02
163,Ponta Do Sol,32.6667,-17.1,72.72,83,1,4.03,PT,2021-07-15 00:21:16
164,Filadelfia,39.9523,-75.1638,85.95,71,1,4.61,US,2021-07-15 00:21:06
165,Sibanicu,21.235,-77.5264,82.85,87,16,10.09,CU,2021-07-15 00:21:16
166,Praia Da Vitoria,38.7333,-27.0667,70.75,78,75,7.38,PT,2021-07-15 00:17:19
167,Tabas,33.5959,56.9244,90.91,17,46,4.25,IR,2021-07-15 00:16:21
168,Cabo San Lucas,22.8909,-109.9124,94.6,53,1,8.99,MX,2021-07-15 00:21:16
169,Leningradskiy,69.3833,178.4167,46.18,88,99,8.21,RU,2021-07-15 00:21:17
170,Faanui,-16.4833,-151.75,79.5,76,58,18.37,PF,2021-07-15 00:21:17
171,Severnyy,50.677,36.5532,73.44,53,0,4.47,RU,2021-07-15 00:21:17
172,Anqing,30.5092,117.0506,87.57,65,79,1.95,CN,2021-07-15 00:21:17
173,Miles City,46.4083,-105.8406,85.17,28,1,0.0,US,2021-07-15 00:21:18
174,Iqaluit,63.7506,-68.5145,49.69,81,27,4.0,CA,2021-07-15 00:21:18
175,Kodiak,57.79,-152.4072,56.71,67,1,5.75,US,2021-07-15 00:21:18
176,Mbanza-Ngungu,-5.25,14.8667,66.78,51,27,4.52,CD,2021-07-15 00:21:18
177,Carnarvon,-24.8667,113.6333,55.47,57,57,3.44,AU,2021-07-15 00:19:30
178,Beni,0.5,29.4667,61.02,93,100,2.8,CD,2021-07-15 00:17:02
179,Pevek,69.7008,170.3133,40.3,89,100,2.17,RU,2021-07-15 00:21:19
180,Sungaipenuh,-2.0833,101.3833,63.9,69,100,1.83,ID,2021-07-15 00:21:19
181,Airai,-8.9266,125.4092,65.12,59,99,3.83,TL,2021-07-15 00:21:19
182,Hayden,47.766,-116.7866,100.98,18,1,5.75,US,2021-07-15 00:20:37
183,Shuiji,27.4214,118.345,84.29,75,91,2.24,CN,2021-07-15 00:21:19
184,Clyde River,70.4692,-68.5914,45.66,67,10,3.02,CA,2021-07-15 00:21:20
185,Kalabo,-14.97,22.6814,57.06,39,17,10.02,ZM,2021-07-15 00:21:20
186,Lunenburg,44.3835,-64.3155,66.42,90,92,9.06,CA,2021-07-15 00:21:20
187,Matara,5.9485,80.5353,76.8,91,87,8.79,LK,2021-07-15 00:21:20
188,Gimli,50.6336,-96.9907,83.43,44,37,6.71,CA,2021-07-15 00:21:21
189,Shellbrook,53.2168,-106.4011,79.61,41,45,5.77,CA,2021-07-15 00:21:21
190,Kenitra,34.261,-6.5802,69.84,85,0,9.51,MA,2021-07-15 00:21:21
191,Provideniya,64.3833,-173.3,48.31,81,40,17.9,RU,2021-07-15 00:21:22
192,Fairbanks,64.8378,-147.7164,64.36,73,90,10.36,US,2021-07-15 00:16:24
193,Iroquois Falls,48.7669,-80.6831,63.9,85,96,4.43,CA,2021-07-15 00:21:22
194,Lorengau,-2.0226,147.2712,84.76,71,72,8.59,PG,2021-07-15 00:21:22
195,Korla,41.7597,86.1469,76.51,39,58,2.17,CN,2021-07-15 00:21:22
196,Lipovtsy,44.2014,131.7244,76.21,77,100,13.09,RU,2021-07-15 00:21:23
197,Sao Joao Da Barra,-21.6403,-41.0511,72.07,90,37,14.34,BR,2021-07-15 00:21:23
198,Awbari,26.5921,12.7805,85.91,20,0,7.65,LY,2021-07-15 00:21:23
199,Isangel,-19.55,169.2667,77.11,73,75,11.5,VU,2021-07-15 00:21:23
200,Tuktoyaktuk,69.4541,-133.0374,38.43,71,100,22.28,CA,2021-07-15 00:21:23
201,Spas-Demensk,54.4122,34.0226,67.06,82,94,0.96,RU,2021-07-15 00:21:24
202,Monroe,43.1501,-77.6831,79.18,77,20,0.0,US,2021-07-15 00:20:06
203,Alekseyevsk,57.8406,108.3492,64.8,90,100,4.88,RU,2021-07-15 00:21:24
